gene_identifier	macM	macF	mouse	pig	human
gene_11618	NDUFA4L2	NDUFA4L2	Ndufa4l2	NDUFA4L2	NDUFA4L2
gene_11619	TSPOAP1	TSPOAP1	Tspoap1	TSPOAP1	TSPOAP1
gene_11620	PAN2	PAN2	Pan2	PAN2	PAN2
gene_11621	NXPE3	NFKBIZ	Nfkbiz	NFKBIZ	NFKBIZ
gene_11622	SNAP47	SNAP47	Snap47	SNAP47	SNAP47
gene_11623	C19H19orf54	C19orf54	BC024978	C19orf54	C19orf54
gene_11624	B4GALT2	B4GALT2	B4galt2	B4GALT2	B4GALT2
gene_11625	TRMT10C	TRMT10C	Trmt10c	TRMT10C	TRMT10C
gene_11626	ZBTB11	ZBTB11	Zbtb11	ZBTB11	ZBTB11
gene_11627	OLFML2B	OLFML2B	Olfml2b	OLFML2B	OLFML2B
gene_11628	SNRPA	SNRPA	Snrpa	SNRPA	SNRPA
gene_11629	MIR142	MIR142	Mir142	MIR142	MIR142
gene_11630	TTC24	TTC24	Ttc24	TTC24	TTC24
gene_11631	SUPT4H1	SUPT4H1	Supt4a	SUPT4H1	SUPT4H1
gene_11632	ATP13A3	ATP13A3	Atp13a3	ATP13A3	ATP13A3
gene_11633	IL20	IL20	Il20	IL20	IL20
gene_11634	RNF43	RNF43	Rnf43	RNF43	RNF43
gene_11635	DNASE2B	DNASE2B	Dnase2b	DNASE2B	DNASE2B
gene_11636	ITPKC	ITPKC	Itpkc	ITPKC	ITPKC
gene_11637	CERS5	LIMA1	Lima1	LIMA1	LIMA1
gene_11638	MANEAL	MANEAL	Maneal	MANEAL	MANEAL
gene_11639	FDX2	FDX2	Fdx2	FDX2	FDX2
gene_11640	UNC13D	UNC13D	Unc13d	UNC13D	UNC13D
gene_11641	INKA1	INKA1	Inka1	INKA1	INKA1
gene_11642	UBA7	UBA7	Uba7	UBA7	UBA7
gene_11643	NIF3L1	NIF3L1	Nif3l1	NIF3L1	NIF3L1
gene_11644	MAST1	MAST1	Mast1	MAST1	MAST1
gene_11645	TRAIP	TRAIP	Traip	TRAIP	TRAIP
gene_11646	RNF34	RNF34	Rnf34	RNF34	RNF34
gene_11647	CYP20A1	CYP20A1	Cyp20a1	CYP20A1	CYP20A1
gene_11648	RBM15	RBM15	Rbm15	RBM15	RBM15
gene_11649	CTC1	CTC1	Ctc1	CTC1	CTC1
gene_11650	JMJD4	JMJD4	Jmjd4	JMJD4	JMJD4
gene_11651	KLHDC7A	KLHDC7A	Klhdc7a	KLHDC7A	KLHDC7A
gene_11652	CAMKV	CAMKV	Camkv	CAMKV	CAMKV
gene_11653	ARL8A	ARL8A	Arl8a	ARL8A	ARL8A
gene_11654	GPR37L1	GPR37L1	Gpr37l1	GPR37L1	GPR37L1
gene_11655	SNX27	SNX27	Snx27	SNX27	SNX27
gene_11656	NCKAP5	NCKAP5	Nckap5	NCKAP5	NCKAP5
gene_11657	THAP4	THAP4	Thap4	THAP4	THAP4
gene_11658	CCDC83	CCDC83	Ccdc83	CCDC83	CCDC83
gene_11659	MST1R	MST1R	Mst1r	MST1R	MST1R
gene_11660	CELF3	CELF3	Celf3	CELF3	CELF3
gene_11661	GPRC5D	GPRC5D	Gprc5d	GPRC5D	GPRC5D
gene_11662	INHBE	INHBE	Inhbe	INHBE	INHBE
gene_11663	SYTL2	SYTL2	Sytl2	SYTL2	SYTL2
gene_11664	CAPRIN2	CAPRIN2	Caprin2	CAPRIN2	CAPRIN2
gene_11665	PMS1	PMS1	Pms1	PMS1	PMS1
gene_11666	RIIAD1	RIIAD1	Riiad1	RIIAD1	RIIAD1
gene_11667	MRPL9	MRPL9	Mrpl9	MRPL9	MRPL9
gene_11668	MON1A	MON1A	Mon1a	MON1A	MON1A
gene_11669	OAZ3	OAZ3	Oaz3	OAZ3	OAZ3
gene_11670	RBM6	RBM6	Rbm6	RBM6	RBM6
gene_11671	LINGO4	LINGO4	Lingo4	LINGO4	LINGO4
gene_11672	S100A10	S100A10	S100a10	S100A10	S100A10
gene_11673	EMP3	EMP3	Emp3	EMP3	EMP3
gene_11674	STIL	STIL	Stil	STIL	STIL
gene_11675	LIG1	LIG1	Lig1	LIG1	LIG1
gene_11676	KRT26	KRT26	Krt26	KRT26	KRT26
gene_11677	TNFSF12	TNFSF12	Tnfsf12	TNFSF12	TNFSF12
gene_11678	CFLAR	CFLAR	Cflar	CFLAR	CFLAR
gene_11679	VAT1	VAT1	Vat1	VAT1	VAT1
gene_11680	RND2	RND2	Rnd2	RND2	RND2
gene_11681	NBR1	NBR1	Nbr1	NBR1	NBR1
gene_11682	NCDN	NCDN	Ncdn	NCDN	NCDN
gene_11683	RBM5	RBM5	Rbm5	RBM5	RBM5
gene_11684	TMEM106A	TMEM106A	Tmem106a	TMEM106A	TMEM106A
gene_11685	TFAP2E	TFAP2E	Tfap2e	TFAP2E	TFAP2E
gene_11686	IZUMO4	IZUMO4	Izumo4	IZUMO4	IZUMO4
gene_11687	RBMS1	RBMS1	Rbms1	RBMS1	RBMS1
gene_11688	PLEKHM1	PLEKHM1	Plekhm1	PLEKHM1	PLEKHM1
gene_11689	NUP160	NUP160	Nup160	NUP160	NUP160
gene_11690	CD86	CD86	Cd86	CD86	CD86
gene_11691	HPDL	HPDL	Hpdl	HPDL	HPDL
gene_11692	MAN1C1	MAN1C1	Man1c1	MAN1C1	MAN1C1
gene_11693	CASR	CASR	Casr	CASR	CASR
gene_11694	FAAP24	FAAP24	Faap24	FAAP24	FAAP24
gene_11695	DYRK4	DYRK4	Dyrk4	DYRK4	DYRK4
gene_11696	BRCA1	BRCA1	Brca1	BRCA1	BRCA1
gene_11697	MIX23	MIX23	Ccdc58	MIX23	MIX23
gene_11698	MAB21L3	MAB21L3	Mab21l3	MAB21L3	MAB21L3
gene_11699	FAM162A	FAM162A	Fam162a	FAM162A	FAM162A
gene_11700	NFASC	NFASC	Nfasc	NFASC	NFASC
gene_11701	AKAP3	AKAP3	Akap3	AKAP3	AKAP3
gene_11702	HYOU1	HYOU1	Hyou1	HYOU1	HYOU1
gene_11703	KPNA1	KPNA1	Kpna1	KPNA1	KPNA1
gene_11704	BAZ2B	BAZ2B	Baz2b	BAZ2B	BAZ2B
gene_11705	PDE4C	PDE4C	Pde4c	PDE4C	PDE4C
gene_11706	PARP9	PARP9	Parp9	PARP9	PARP9
gene_11707	INSIG2	INSIG2	Insig2	INSIG2	INSIG2
gene_11708	KCNA1	KCNA1	Kcna1	KCNA1	KCNA1
gene_11709	DPY19L2	DPY19L2	Dpy19l2	DPY19L2	DPY19L2
gene_11710	THSD7B	THSD7B	Thsd7b	THSD7B	THSD7B
gene_11711	KCNH7	KCNH7	Kcnh7	KCNH7	KCNH7
gene_11712	DTX3L	DTX3L	Dtx3l	DTX3L	DTX3L
gene_11713	CNTN2	CNTN2	Cntn2	CNTN2	CNTN2
gene_11714	SRGAP1	SRGAP1	Srgap1	SRGAP1	SRGAP1
gene_11715	EMC3	EMC3	Emc3	EMC3	EMC3
gene_11716	ARHGAP35	ARHGAP35	Arhgap35	ARHGAP35	ARHGAP35
gene_11717	SRPRB	SRPRB	Srprb	SRPRB	SRPRB
gene_11718	ATF1	ATF1	Atf1	ATF1	ATF1
gene_11719	NPAS1	NPAS1	Npas1	NPAS1	NPAS1
gene_11720	TMPRSS12	TMPRSS12	Tmprss12	TMPRSS12	TMPRSS12
gene_11721	HIGD1C	HIGD1C	Higd1c	HIGD1C	HIGD1C
gene_11722	DCBLD2	DCBLD2	Dcbld2	DCBLD2	DCBLD2
gene_11723	MYL6B	MYL6B	Myl6b	MYL6B	MYL6B
gene_11724	ST3GAL6	ST3GAL6	St3gal6	ST3GAL6	ST3GAL6
gene_11725	AICDA	AICDA	Aicda	AICDA	AICDA
gene_11726	SPAG16	SPAG16	Spag16	SPAG16	SPAG16
gene_11727	KCTD21	KCTD21	Kctd21	KCTD21	KCTD21
gene_11728	USP35	USP35	Usp35	USP35	USP35
gene_11729	SYPL2	SYPL2	Sypl2	SYPL2	SYPL2
gene_11730	CCSAP	CCSAP	Ccsap	CCSAP	CCSAP
gene_11731	CPS1	CPS1	Cps1	CPS1	CPS1
gene_11732	GAB2	GAB2	Gab2	GAB2	GAB2
gene_11733	ACTA1	ACTA1	Acta1	ACTA1	ACTA1
gene_11734	SAE1	SAE1	Sae1	SAE1	SAE1
gene_11735	FOXJ2	FOXJ2	Foxj2	FOXJ2	FOXJ2
gene_11736	SNORA73	SNORA73	Gm24533	SNORA73	SNORA73B
gene_11737	TRNAU1AP	TRNAU1AP	Trnau1ap	TRNAU1AP	TRNAU1AP
gene_11738	NECAP1	NECAP1	Necap1	NECAP1	NECAP1
gene_11739	NARS2	NARS2	Nars2	NARS2	NARS2
gene_11740	CCDC9	CCDC9	Ccdc9	CCDC9	CCDC9
gene_11741	SNORD99	SNORD99	Snord99	SNORD99	SNORD99
gene_11742	RAB42	RAB42	Rab42	RAB42	RAB42
gene_11743	TTLL3	TTLL3	Ttll3	TTLL3	TTLL3
gene_11744	ACSF2	ACSF2	Acsf2	ACSF2	ACSF2
gene_11745	NACC1	NACC1	Nacc1	NACC1	NACC1
gene_11746	PSMD8	PSMD8	Psmd8	PSMD8	PSMD8
gene_11747	CDK18	CDK18	Cdk18	CDK18	CDK18
gene_11748	AP3D1	AP3D1	Ap3d1	AP3D1	AP3D1
gene_11749	EMSY	EMSY	Emsy	EMSY	EMSY
gene_11750	NEK10	NEK10	Nek10	NEK10	NEK10
gene_11751	PUS7L	PUS7L	Pus7l	PUS7L	PUS7L
gene_11752	CHAD	CHAD	Chad	CHAD	CHAD
gene_11753	RSAD1	RSAD1	Rsad1	RSAD1	RSAD1
gene_11754	PLEKHA6	PLEKHA6	Plekha6	PLEKHA6	PLEKHA6
gene_11755	MYCBPAP	MYCBPAP	Mycbpap	MYCBPAP	MYCBPAP
gene_11756	TWF1	TWF1	Twf1	TWF1	TWF1
gene_11757	MAGI1	MAGI1	Magi1	MAGI1	MAGI1
gene_11758	ANGPTL6	ANGPTL6	Angptl6	ANGPTL6	ANGPTL6
gene_11759	IRAK4	IRAK4	Irak4	IRAK4	IRAK4
gene_11760	RELB	RELB	Relb	RELB	RELB
gene_11761	EPN3	EPN3	Epn3	EPN3	EPN3
gene_11762	CLASRP	CLASRP	Clasrp	CLASRP	CLASRP
gene_11763	GLMN	GLMN	Glmn	GLMN	GLMN
gene_11764	TH	TH	Th	TH	TH
gene_11765	CCT7	CCT7	Cct7	CCT7	CCT7
gene_11766	TAMM41	TAMM41	Tamm41	TAMM41	TAMM41
gene_11767	FAR2	FAR2	Far2	FAR2	FAR2
gene_11768	RPAP2	RPAP2	Rpap2	RPAP2	RPAP2
gene_11769	TBC1D17	TBC1D17	Tbc1d17	TBC1D17	TBC1D17
gene_11770	ERGIC2	ERGIC2	Ergic2	ERGIC2	ERGIC2
gene_11771	EFHD1	EFHD1	Efhd1	EFHD1	EFHD1
gene_11772	OR11L1	OR11L1	Olfr323	OR11L1	OR11L1
gene_11773	TRIM58	TRIM58	Trim58	TRIM58	TRIM58
gene_11774	SLC4A7	SLC4A7	Slc4a7	SLC4A7	SLC4A7
gene_11775	OR6Y1	OR6Y1	Olfr414	OR6Y1	OR6Y1
gene_11776	ZSCAN20	ZSCAN20	Zscan20	ZSCAN20	ZSCAN20
gene_11777	NUP62	NUP62	Nup62	NUP62	NUP62
gene_11778	FAM234B	FAM234B	Fam234b	FAM234B	FAM234B
gene_11779	OR2T6	OR2T6	Olfr720	OR2T6	OR2T6
gene_11780	MYOC	MYOC	Myoc	MYOC	MYOC
gene_11781	ANKFN1	ANKFN1	Ankfn1	ANKFN1	ANKFN1
gene_11782	FOXN2	FOXN2	Foxn2	FOXN2	FOXN2
gene_11783	KCNK3	KCNK3	Kcnk3	KCNK3	KCNK3
gene_11784	KRT80	KRT80	Krt80	KRT80	KRT80
gene_11785	IZUMO2	IZUMO2	Izumo2	IZUMO2	IZUMO2
gene_11786	NRXN1	NRXN1	Nrxn1	NRXN1	NRXN1
gene_11787	U2AF2	U2AF2	U2af2	U2AF2	U2AF2
gene_11788	ZBTB17	ZBTB17	Zbtb17	ZBTB17	ZBTB17
gene_11789	KRT7	KRT7	Krt7	KRT7	KRT7
gene_11790	DGKZ	DGKZ	Dgkz	DGKZ	DGKZ
gene_11791	TTC9B	TTC9B	Ttc9b	TTC9B	TTC9B
gene_11792	SRARP	SRARP	Srarp	SRARP	SRARP
gene_11793	HSPB7	HSPB7	Hspb7	HSPB7	HSPB7
gene_11794	AKT2	AKT2	Akt2	AKT2	AKT2
gene_11795	KRT85	KRT85	Gm49425	KRT85	KRT85
gene_11796	KRT84	KRT84	Krt84	KRT84	KRT84
gene_11797	KRT82	KRT82	Krt82	KRT82	KRT82
gene_11798	KRT75	KRT75	Krt75	KRT75	KRT75
gene_11799	FAM131C	FAM131C	Fam131c	FAM131C	FAM131C
gene_11800	CCDC88A	CCDC88A	Ccdc88a	CCDC88A	CCDC88A
gene_11801	ZBTB8A	ZBTB8A	Zbtb8a	ZBTB8A	ZBTB8A
gene_11802	ZBTB8OS	ZBTB8OS	Zbtb8os	ZBTB8OS	ZBTB8OS
gene_11803	KRT71	KRT71	Krt71	KRT71	KRT71
gene_11804	NRAS	NRAS	Nras	NRAS	NRAS
gene_11805	SIKE1	SIKE1	Sike1	SIKE1	SIKE1
gene_11806	U6	U6	Gm25538	U6	RNU6-945P
gene_11807	KRT73	KRT73	Krt73	KRT73	KRT73
gene_11808	CD3D	CD3D	Cd3d	CD3D	CD3D
gene_11809	GRIP1	GRIP1	Grip1	GRIP1	GRIP1
gene_11810	BLVRB	BLVRB	Blvrb	BLVRB	BLVRB
gene_11811	ACTN2	ACTN2	Actn2	ACTN2	ACTN2
gene_11812	PLD3	PLD3	Pld3	PLD3	PLD3
gene_11813	CLPB	CLPB	Clpb	CLPB	CLPB
gene_11814	OR13G1	OR13G1	Olfr309	OR13G1	OR13G1
gene_11815	CFAP20DC	CFAP20DC	Cfap20dc	CFAP20DC	CFAP20DC
gene_11816	OR10Z1	OR10Z1	Olfr419	OR10Z1	OR10Z1
gene_11817	SPTA1	SPTA1	Spta1	SPTA1	SPTA1
gene_11818	CFAP92	CFAP92	1810020O05Rik	CFAP92	CFAP92
gene_11819	DCLK3	DCLK3	Dclk3	DCLK3	DCLK3
gene_11820	SNX15	SNX15	Snx15	SNX15	SNX15
gene_11821	mml-mir-186	MIR186	Mir186	ssc-mir-186	MIR186
gene_11822	CNOT3	CNOT3	Cnot3	CNOT3	CNOT3
gene_11823	TXNRD1	TXNRD1	Txnrd1	TXNRD1	TXNRD1
gene_11824	SAC3D1	SAC3D1	Sac3d1	SAC3D1	SAC3D1
gene_11825	DPPA4	DPPA4	Dppa4	DPPA4	DPPA4
gene_11826	CERS2	CERS2	Cers2	CERS2	CERS2
gene_11827	TCTA	TCTA	Tcta	TCTA	TCTA
gene_11828	KCNMB3	KCNMB3	Kcnmb3	KCNMB3	KCNMB3
gene_11829	CDCA5	CDCA5	Cdca5	CDCA5	CDCA5
gene_11830	MVK	MVK	Mvk	MVK	MVK
gene_11831	TAS2R7	TAS2R7	Tas2r130	TAS2R7	TAS2R7
gene_11832	OTOL1	OTOL1	Otol1	OTOL1	OTOL1
gene_11833	TIMELESS	TIMELESS	Timeless	TIMELESS	TIMELESS
gene_11834	RPUSD3	RPUSD3	Rpusd3	RPUSD3	RPUSD3
gene_11835	BGLAP	SLC25A44	Slc25a44	SLC25A44	SLC25A44
gene_11836	FH	FH	Fh1	FH	FH
gene_11837	KMO	KMO	Kmo	KMO	KMO
gene_11838	NR2C2	NR2C2	Nr2c2	NR2C2	NR2C2
gene_11839	STAT2	STAT2	Stat2	STAT2	STAT2
gene_11840	NLGN1	NLGN1	Nlgn1	NLGN1	NLGN1
gene_11841	TMEM240	TMEM240	Tmem240	TMEM240	TMEM240
gene_11842	MIB2	MIB2	Mib2	MIB2	MIB2
gene_11843	GABRR3	GABRR3	Gabrr3	GABRR3	GABRR3
gene_11844	NUP210	NUP210	Nup210	NUP210	NUP210
gene_11845	FAP	FAP	Fap	FAP	FAP
gene_11846	TNFRSF1A	TNFRSF1A	Tnfrsf1a	TNFRSF1A	TNFRSF1A
gene_11847	HDAC11	HDAC11	Hdac11	HDAC11	HDAC11
gene_11848	CUL3	CUL3	Cul3	CUL3	CUL3
gene_11849	BCL9	BCL9	Bcl9	BCL9	BCL9
gene_11850	ARNTL2	ARNTL2	Arntl2	ARNTL2	ARNTL2
gene_11851	EXO1	EXO1	Exo1	EXO1	EXO1
gene_11852	FBLN2	FBLN2	Fbln2	FBLN2	FBLN2
gene_11853	BECN2	BECN2	Becn2	BECN2	BECN2
gene_11854	WDR64	WDR64	Wdr64	WDR64	WDR64
gene_11855	DYNLT5	DYNLT5	Dynlt5	DYNLT5	DYNLT5
gene_11856	TSSC4	TSSC4	Tssc4	TSSC4	TSSC4
gene_11857	CCDC92	CCDC92	Ccdc92	CCDC92	CCDC92
gene_11858	DNAI4	DNAI4	Dnai4	DNAI4	DNAI4
gene_11859	IQCG	IQCG	Iqcg	IQCG	IQCG
gene_11860	TRPM5	TRPM5	Trpm5	TRPM5	TRPM5
gene_11861	ZNF664	ZNF664	Zfp664	ZNF664	ZNF664
gene_11862	SGIP1	SGIP1	Sgip1	SGIP1	SGIP1
gene_11863	RPL35A	RPL35A	Rpl35a	RPL35A	RPL35A
gene_11864	RFLNA	RFLNA	Rflna	RFLNA	RFLNA
gene_11865	LMLN	LMLN	Lmln	LMLN	LMLN
gene_11866	GORASP1	GORASP1	Gorasp1	GORASP1	GORASP1
gene_11867	DNMT1	DNMT1	Dnmt1	DNMT1	DNMT1
gene_11868	SENP5	SENP5	Senp5	SENP5	SENP5
gene_11869	KCNH3	KCNH3	Kcnh3	KCNH3	KCNH3
gene_11870	MELTF	MELTF	Meltf	MELTF	MELTF
gene_11871	MCRS1	MCRS1	Mcrs1	MCRS1	MCRS1
gene_11872	LBR	LBR	Lbr	LBR	LBR
gene_11873	DLG1	DLG1	Dlg1	DLG1	DLG1
gene_11874	IL10RA	IL10RA	Il10ra	IL10RA	IL10RA
gene_11875	PRPF40B	PRPF40B	Prpf40b	PRPF40B	PRPF40B
gene_11876	DCDC2B	DCDC2B	Dcdc2b	DCDC2B	DCDC2B
gene_11877	DYRK3	DYRK3	Dyrk3	DYRK3	DYRK3
gene_11878	TNFSF18	TNFSF18	Tnfsf18	TNFSF18	TNFSF18
gene_11879	PLPPR4	PLPPR4	Plppr4	PLPPR4	PLPPR4
gene_11880	FAM186B	FAM186B	Fam186b	FAM186B	FAM186B
gene_11881	TRIM67	TRIM67	Trim67	TRIM67	TRIM67
gene_11882	FMNL3	FMNL3	Fmnl3	FMNL3	FMNL3
gene_11883	LEXM	LEXM	Lexm	LEXM	LEXM
gene_11884	RPRD2	RPRD2	Rprd2	RPRD2	RPRD2
gene_11885	ARL6IP4	ARL6IP4	Arl6ip4	ARL6IP4	ARL6IP4
gene_11886	DPP9	DPP9	Dpp9	DPP9	DPP9
gene_11887	SLC2A7	SLC2A7	Slc2a7	SLC2A7	SLC2A7
gene_11888	EFNA2	EFNA2	Efna2	EFNA2	EFNA2
gene_11889	LMNA	LMNA	Lmna	LMNA	LMNA
gene_11890	NRIP3	NRIP3	Nrip3	NRIP3	NRIP3
gene_11891	C14H11orf58	C11orf58	1110004F10Rik	C11orf58	C11orf58
gene_11892	KCNK4	KCNK4	Kcnk4	KCNK4	KCNK4
gene_11893	HOXC13	HOXC13	Hoxc13	HOXC13	HOXC13
gene_11894	HOXC12	HOXC12	Hoxc12	HOXC12	HOXC12
gene_11895	HOXC6	HOXC6	Hoxc6	HOXC6	HOXC6
gene_11896	C14H11orf97	C11orf97	1700012B09Rik	C11orf97	C11orf97
gene_11897	PIWIL4	PIWIL4	Piwil4	PIWIL4	PIWIL4
gene_11898	mml-mir-196a-2	MIR196A2	Mir196a-2	ssc-mir-196a-2	MIR196A2
gene_11899	HOXC9	HOXC9	Hoxc9	HOXC9	HOXC9
gene_11900	HOXC8	HOXC8	Hoxc8	HOXC8	HOXC8
gene_11901	ORAI1	ORAI1	Orai1	ORAI1	ORAI1
gene_11902	MYO1H	MYO1H	Myo1h	MYO1H	MYO1H
gene_11903	ACTRT2	ACTRT2	Actrt2	ACTRT2	ACTRT2
gene_11904	LDLRAD2	LDLRAD2	Ldlrad2	LDLRAD2	LDLRAD2
gene_11905	FKBP4	FKBP4	Fkbp4	FKBP4	FKBP4
gene_11906	HSPG2	HSPG2	Hspg2	HSPG2	HSPG2
gene_11907	ITFG2	ITFG2	Itfg2	ITFG2	ITFG2
gene_11908	TBC1D5	TBC1D5	Tbc1d5	TBC1D5	TBC1D5
gene_11909	NRIP2	NRIP2	Nrip2	NRIP2	NRIP2
gene_11910	TEX52	TEX52	Tex52	TEX52	TEX52
gene_11911	FOXM1	FOXM1	Foxm1	FOXM1	FOXM1
gene_11912	ZW10	ZW10	Zw10	ZW10	ZW10
gene_11913	AVPR1B	AVPR1B	Avpr1b	AVPR1B	AVPR1B
gene_11914	RHNO1	RHNO1	Rhno1	RHNO1	RHNO1
gene_11915	TULP3	TULP3	Tulp3	TULP3	TULP3
gene_11916	NECTIN1	NECTIN1	Nectin1	NECTIN1	NECTIN1
gene_11917	FLI1	FLI1	Fli1	FLI1	FLI1
gene_11918	EXOG	EXOG	Exog	EXOG	EXOG
gene_11919	USP28	USP28	Usp28	USP28	USP28
gene_11920	IKBKE	IKBKE	Ikbke	IKBKE	IKBKE
gene_11921	ROBO2	ROBO2	Robo2	ROBO2	ROBO2
gene_11922	PRMT8	PRMT8	Prmt8	PRMT8	PRMT8
gene_11923	CAPS2	CAPS2	Caps2	CAPS2	CAPS2
gene_11924	RASSF5	RASSF5	Rassf5	RASSF5	RASSF5
gene_11925	MORN2	MORN2	Morn2	MORN2	MORN2
gene_11926	EIF2D	EIF2D	Eif2d	EIF2D	EIF2D
gene_11927	CWC15	CWC15	Cwc15	CWC15	CWC15
gene_11928	ADGRF3	ADGRF3	Adgrf3	ADGRF3	ADGRF3
gene_11929	ENDOD1	ENDOD1	Endod1	ENDOD1	ENDOD1
gene_11930	SESN3	SESN3	Sesn3	SESN3	SESN3
gene_11931	GATA2	GATA2	Gata2	GATA2	GATA2
gene_11932	COQ10B	COQ10B	Coq10b	COQ10B	COQ10B
gene_11933	TRAF6	TRAF6	Traf6	TRAF6	TRAF6
gene_11934	VIT	VIT	Vit	VIT	VIT
gene_11935	RAG1	RAG1	Rag1	RAG1	RAG1
gene_11936	SMCO2	SMCO2	Smco2	SMCO2	SMCO2
gene_11937	RAG2	RAG2	Rag2	RAG2	RAG2
gene_11938	CHST1	CHST1	Chst1	CHST1	CHST1
gene_11939	SLC35C1	SLC35C1	Slc35c1	SLC35C1	SLC35C1
gene_11940	C14H11orf80	C11orf80	Gm960	C11orf80	C11orf80
gene_11941	VASH2	VASH2	Vash2	VASH2	VASH2
gene_11942	ASIC4	ASIC4	Asic4	ASIC4	ASIC4
gene_11943	UNG	UNG	Ung	UNG	UNG
gene_11944	CYB5RL	CYB5RL	Cyb5rl	CYB5RL	CYB5RL
gene_11945	SULT6B1	SULT6B1	Sult6b1	SULT6B1	SULT6B1
gene_11946	DNMT3A	DNMT3A	Dnmt3a	DNMT3A	DNMT3A
gene_11947	ATXN7L2	ATXN7L2	Atxn7l2	ATXN7L2	ATXN7L2
gene_11948	RCE1	RCE1	Rce1	RCE1	RCE1
gene_11949	CENPL	CENPL	Cenpl	CENPL	CENPL
gene_11950	OR8S1	OR8S1	Olfr285	OR8S1	OR8S1
gene_11951	OGFOD2	OGFOD2	Ogfod2	OGFOD2	OGFOD2
gene_11952	ZNF496	ZNF496	Zkscan17	ZNF496	ZNF496
gene_11953	PC	PC	Pcx	PC	PC
gene_11954	RABGAP1L	RABGAP1L	Rabgap1l	RABGAP1L	RABGAP1L
gene_11955	MLPH	MLPH	Mlph	MLPH	MLPH
gene_11956	OASL	OASL	Oasl1	OASL	OASL
gene_11957	POLE	POLE	Pole	POLE	POLE
gene_11958	LRFN4	LRFN4	Lrfn4	LRFN4	LRFN4
gene_11959	AMPD1	AMPD1	Ampd1	AMPD1	AMPD1
gene_11960	C14H11orf86	C11orf86	2010003K11Rik	C11orf86	C11orf86
gene_11961	SLC37A4	SLC37A4	Slc37a4	SLC37A4	SLC37A4
gene_11962	COL6A5	COL6A5	Col6a5	COL6A5	COL6A5
gene_11963	GPR161	GPR161	Gpr161	GPR161	GPR161
gene_11964	RAB17	RAB17	Rab17	RAB17	RAB17
gene_11965	CD101	CD101	Cd101	CD101	CD101
gene_11966	MAPRE3	MAPRE3	Mapre3	MAPRE3	MAPRE3
gene_11967	NPL	NPL	Npl	NPL	NPL
gene_11968	DAG1	DAG1	Dag1	DAG1	DAG1
gene_11969	RFT1	RFT1	Rft1	RFT1	RFT1
gene_11970	RCC1	RCC1	Rcc1	RCC1	RCC1
gene_11971	POLA2	POLA2	Pola2	POLA2	POLA2
gene_11972	ARID2	ARID2	Arid2	ARID2	ARID2
gene_11973	PRKCD	PRKCD	Prkcd	PRKCD	PRKCD
gene_11974	AGBL5	AGBL5	Agbl5	AGBL5	AGBL5
gene_11975	LMBR1L	LMBR1L	Lmbr1l	LMBR1L	LMBR1L
gene_11976	SLC25A45	SLC25A45	Slc25a45	SLC25A45	SLC25A45
gene_11977	C1H1orf109	C1orf109	9930104L06Rik	C1orf109	C1orf109
gene_11978	EMILIN1	EMILIN1	Emilin1	EMILIN1	EMILIN1
gene_11979	TEKT2	TEKT2	Tekt2	TEKT2	TEKT2
gene_11980	ADPRS	ADPRS	Adprs	ADPRS	ADPRS
gene_11981	COL8A2	COL8A2	Col8a2	COL8A2	COL8A2
gene_11982	TRAPPC3	TRAPPC3	Trappc3	TRAPPC3	TRAPPC3
gene_11983	CCR8	CCR8	Ccr8	CCR8	CCR8
gene_11984	SLC25A38	SLC25A38	Slc25a38	SLC25A38	SLC25A38
gene_11985	ABHD1	ABHD1	Abhd1	ABHD1	ABHD1
gene_11986	PKP2	PKP2	Pkp2	PKP2	PKP2
gene_11987	RELA	RELA	Rela	RELA	RELA
gene_11988	TTC21A	TTC21A	Ttc21a	TTC21A	TTC21A
gene_11989	TCF23	TCF23	Tcf23	TCF23	TCF23
gene_11990	ZNF362	ZNF362	Zfp362	ZNF362	ZNF362
gene_11991	SLC5A6	SLC5A6	Slc5a6	SLC5A6	SLC5A6
gene_11992	OS9	OS9	Os9	OS9	OS9
gene_11993	CSRNP1	CSRNP1	Csrnp1	CSRNP1	CSRNP1
gene_11994	S100A4	S100A4	S100a4	S100A4	S100A4
gene_11995	CX3CR1	CX3CR1	Cx3cr1	CX3CR1	CX3CR1
gene_11996	GALNT15	GALNT15	Galnt15	GALNT15	GALNT15
gene_11997	S100A3	S100A3	S100a3	S100A3	S100A3
gene_11998	S100A2	S100A2	S100a2	S100A2	S100A2
gene_11999	CAD	CAD	Cad	CAD	CAD
gene_12000	OXNAD1	OXNAD1	Oxnad1	OXNAD1	OXNAD1
gene_12001	S100A1	S100A1	S100a1	S100A1	S100A1
gene_12002	CHTOP	CHTOP	Chtop	CHTOP	CHTOP
gene_12003	SLC25A36	SLC25A36	Slc25a36	SLC25A36	SLC25A36
gene_12004	SNAPIN	SNAPIN	Snapin	SNAPIN	SNAPIN
gene_12005	SLC30A3	SLC30A3	Slc30a3	SLC30A3	SLC30A3
gene_12006	STK40	STK40	Stk40	STK40	STK40
gene_12007	IFT122	IFT122	Ift122	IFT122	IFT122
gene_12008	UCN	UCN	Ucn	UCN	UCN
gene_12009	LSM10	LSM10	Lsm10	LSM10	LSM10
gene_12010	MPV17	MPV17	Mpv17	MPV17	MPV17
